response_time_sec,tab_switch_count,total_hidden_time_sec,hidden_time_ratio,paste_count,pasted_chars_total,paste_ratio,input_event_count,delete_count,max_pause_sec,max_input_burst_chars,copy_count,answer_length_chars,is_anomaly
232.753,0,0.0,0.0,0,0,0.0,56,10,10.504,44,0,617,0
259.177,1,26.37,0.101745,0,0,0.0,50,3,5.935,16,0,276,0
213.754,0,0.0,0.0,0,0,0.0,42,6,24.093,58,0,471,0
637.918,1,48.717,0.076369,0,0,0.0,250,12,6.551,27,0,1371,0
297.998,0,0.0,0.0,0,0,0.0,68,6,6.62,38,0,632,0
88.732,0,0.0,0.0,0,0,0.0,34,2,18.202,17,1,267,0
223.231,0,0.0,0.0,0,0,0.0,96,3,17.434,17,0,533,0
192.811,0,0.0,0.0,1,6,0.012987,73,5,10.695,17,0,462,0
199.552,0,0.0,0.0,1,52,0.106339,79,3,12.325,31,0,489,0
142.756,0,0.0,0.0,0,0,0.0,56,3,75.0,44,0,484,0
77.162,0,0.0,0.0,0,0,0.0,34,2,7.977,20,1,170,0
147.169,0,0.0,0.0,0,0,0.0,32,0,14.964,20,0,182,0
417.72,0,0.0,0.0,0,0,0.0,123,8,6.153,16,0,605,0
237.848,1,1.292,0.005432,0,0,0.0,30,3,16.166,83,0,302,0
204.545,0,0.0,0.0,0,0,0.0,43,4,29.846,27,0,319,0
230.727,7,86.262,0.37387,0,0,0.0,24,3,156.626,26,3,290,1
197.983,0,0.0,0.0,1,20,0.061538,40,7,34.866,14,1,325,0
341.436,0,0.0,0.0,0,0,0.0,126,5,12.039,21,0,649,0
195.506,1,0.978,0.005002,0,0,0.0,46,2,6.559,7,0,438,0
389.177,0,0.0,0.0,0,0,0.0,112,6,8.21,36,0,731,0
100.742,1,5.04,0.050029,1,2,0.009479,21,3,5.422,16,0,211,0
151.234,0,0.0,0.0,1,10,0.045455,30,1,5.34,28,0,220,0
86.719,0,0.0,0.0,0,0,0.0,15,0,14.06,5,0,134,0
462.932,0,0.0,0.0,0,0,0.0,70,4,20.61,20,0,748,0
83.39,3,24.504,0.293848,4,407,0.566852,17,1,9.266,362,2,718,1
283.356,0,0.0,0.0,0,0,0.0,43,3,32.25,9,1,518,0
726.063,5,274.287,0.377773,0,0,0.0,86,9,476.978,47,1,975,1
138.559,1,5.656,0.04082,1,2,0.010152,21,2,10.3,7,0,197,0
141.724,1,18.082,0.127586,2,295,0.576172,7,4,13.395,187,0,512,1
183.11,2,1.501,0.008197,0,0,0.0,55,5,8.396,9,0,399,0
745.174,0,0.0,0.0,0,0,0.0,167,6,5.853,37,0,1200,0
98.185,1,4.298,0.043775,1,18,0.162162,19,4,10.507,57,0,111,0
52.458,2,7.913,0.150844,1,96,0.454976,6,2,82.958,76,0,211,1
1723.803,10,1072.939,0.622426,1,122,0.085674,154,11,141.637,43,0,1424,1
537.427,1,21.355,0.039736,0,0,0.0,88,8,31.864,21,0,849,0
273.038,0,0.0,0.0,1,6,0.014052,72,2,16.081,11,0,427,0
183.887,2,47.474,0.258169,1,420,0.612245,30,2,38.048,321,0,686,1
1101.716,4,321.301,0.291637,0,0,0.0,173,11,91.697,150,0,1072,1
664.189,7,514.08,0.773997,0,0,0.0,58,3,79.995,55,1,632,1
158.505,0,0.0,0.0,0,0,0.0,44,2,17.782,20,0,298,0
51.864,2,12.999,0.250636,3,180,0.849057,9,5,22.973,145,3,212,1
54.658,1,3.747,0.068554,3,235,0.860806,11,2,13.897,139,2,273,1
118.859,0,0.0,0.0,0,0,0.0,31,2,9.918,63,0,220,0
205.872,1,9.303,0.045188,0,0,0.0,40,5,15.677,19,0,370,0
99.426,0,0.0,0.0,1,9,0.048128,27,1,10.51,9,0,187,0
62.738,3,4.269,0.068045,1,276,0.968421,12,1,6.701,270,1,285,1
829.715,13,382.8,0.461363,0,0,0.0,76,8,92.119,103,4,1078,1
59.602,1,12.034,0.201906,3,273,0.726064,18,4,25.255,269,2,376,1
558.875,0,0.0,0.0,1,42,0.03871,103,11,12.783,23,0,1085,0
497.237,1,9.75,0.019608,0,0,0.0,64,3,4.933,11,0,776,0
489.34,5,404.934,0.827511,0,0,0.0,25,5,39.296,17,2,371,1
51.579,1,11.868,0.230094,1,296,0.888889,10,0,34.201,189,0,333,1
134.164,0,0.0,0.0,1,6,0.028302,34,8,10.23,29,1,212,0
81.538,0,0.0,0.0,0,0,0.0,16,4,20.705,50,0,146,0
184.351,0,0.0,0.0,0,0,0.0,26,2,8.494,21,0,306,0
304.492,0,0.0,0.0,0,0,0.0,56,6,5.551,13,0,718,0
249.285,0,0.0,0.0,1,3,0.011628,38,3,10.546,49,0,258,0
246.867,0,0.0,0.0,0,0,0.0,44,4,13.337,42,0,484,0
188.303,0,0.0,0.0,0,0,0.0,60,4,9.657,7,0,378,0
246.41,0,0.0,0.0,1,4,0.011142,34,3,4.784,18,0,359,0
137.812,1,8.32,0.060372,0,0,0.0,34,3,4.855,28,0,275,0
495.521,9,313.849,0.633372,0,0,0.0,41,1,50.846,79,1,373,1
304.859,10,192.896,0.632738,2,30,0.101695,33,5,77.869,20,1,295,1
180.0,8,148.88,0.827111,1,33,0.279661,19,4,190.715,27,1,118,1
133.649,1,5.033,0.037658,0,0,0.0,29,2,34.045,13,0,327,0
100.181,1,1.446,0.014434,0,0,0.0,48,4,25.66,10,0,229,0
218.637,0,0.0,0.0,0,0,0.0,55,5,7.902,18,0,533,0
66.442,0,0.0,0.0,2,16,0.088398,28,3,16.85,17,0,181,0
310.922,4,117.031,0.3764,1,153,0.388325,32,4,600.0,105,0,394,1
184.77,5,83.245,0.450533,3,112,0.455285,14,5,43.694,159,1,246,1
124.123,0,0.0,0.0,0,0,0.0,32,2,49.319,22,0,213,0
140.107,0,0.0,0.0,1,8,0.064,13,2,8.521,9,0,125,0
59.939,1,1.277,0.021305,0,0,0.0,38,1,29.451,54,0,182,0
113.163,0,0.0,0.0,0,0,0.0,18,3,8.053,32,0,148,0
129.588,2,7.824,0.060376,0,0,0.0,25,2,12.05,20,0,197,0
110.033,0,0.0,0.0,0,0,0.0,38,5,4.989,24,0,281,0
52.347,0,0.0,0.0,0,0,0.0,14,1,25.014,22,0,107,0
82.376,0,0.0,0.0,0,0,0.0,25,4,2.12,34,0,190,0
215.669,0,0.0,0.0,1,14,0.035806,36,4,17.942,11,0,391,0
79.159,0,0.0,0.0,2,326,0.928775,10,1,60.215,188,3,351,1
149.171,0,0.0,0.0,0,0,0.0,38,2,5.524,76,0,345,0
147.119,0,0.0,0.0,0,0,0.0,35,2,5.841,18,0,397,0
194.807,5,59.854,0.307248,3,391,0.531973,19,1,225.036,242,1,735,1
362.36,0,0.0,0.0,0,0,0.0,53,5,16.488,12,0,630,0
340.275,0,0.0,0.0,0,0,0.0,51,6,61.007,18,0,543,0
314.396,1,19.596,0.062329,0,0,0.0,68,8,7.652,13,0,605,0
267.976,1,3.075,0.011475,1,9,0.016698,84,6,8.37,13,0,539,0
